key,en,ja,ko,zh-CN
language.label,Language,言語,언어,语言
language.en,English,English,English,English
language.ja,Japanese,日本語,日本語,日本語
language.ko,Korean,한국어,한국어,한국어
language.zhCN,Simplified Chinese,简体中文,简体中文,简体中文
responsive.closePanel,Close panel,パネルを閉じる,패널 닫기,关闭面板
settings.options,Options,オプション,옵션,选项
settings.subtitle,Application preferences,アプリケーション設定,애플리케이션 환경설정,应用偏好设置
settings.close,Close options,オプションを閉じる,옵션 닫기,关闭选项
settings.sections,Option sections,オプションセクション,옵션 섹션,选项分区
settings.general,General,一般,일반,常规
settings.generalDetail,Language and workflow,言語とワークフロー,언어 및 워크플로,语言和工作流
settings.generalTitle,Studio defaults,スタジオの既定値,스튜디오 기본값,工作室默认值
settings.generalDescription,Choose the language and the default method used when a scene is built.,言語とシーン構築時の既定方式を選択します。,언어와 장면 생성 시 사용할 기본 방식을 선택합니다.,选择语言以及构建场景时使用的默认方法。
settings.languageHelp,The language is also used by the native desktop menus.,言語はデスクトップのネイティブメニューにも使用されます。,언어는 데스크톱 기본 메뉴에도 적용됩니다.,语言也会应用于桌面原生菜单。
settings.inference,Inference,推論,추론,推理
settings.inferenceDetail,Local AI and generation controls,ローカル AI と生成設定,로컬 AI 및 생성 설정,本地 AI 和生成控制
settings.inferenceTitle,Inference defaults,推論の既定値,추론 기본값,推理默认值
settings.inferenceDescription,Choose the local inpainting method and denoising budget used for generated pixels.,生成ピクセルに使用するローカルインペイント方式とノイズ除去回数を選択します。,생성 픽셀에 사용할 로컬 인페인팅 방식과 디노이징 예산을 선택합니다.,选择生成像素时使用的本地修复方式和去噪预算。
settings.segmentationDensity,Segmentation density,セグメンテーション密度,세그먼테이션 밀도,分割密度
settings.segmentationSparse,Sparse,スパース,희소,稀疏
settings.segmentationBalanced,Balanced,バランス,균형,平衡
settings.segmentationDense,Dense,高密度,고밀도,密集
settings.segmentationDensityHelp,Controls how many foreground objects are proposed. Dense finds smaller props and may create more layers.,提案する前景オブジェクトの数を制御します。高密度では小さな小道具も検出し、レイヤーが増える場合があります。,제안할 전경 오브젝트 수를 조절합니다. 고밀도는 작은 소품을 찾아 더 많은 레이어를 만들 수 있습니다.,控制提议的前景对象数量。密集模式会寻找更小的物体，并可能创建更多图层。
settings.segmentationLabels,Object vocabulary,オブジェクト語彙,오브젝트 어휘,对象词汇
settings.segmentationLabelsPlaceholder,"person, keyboard, cup, monitor","person, keyboard, cup, monitor","person, keyboard, cup, monitor","person, keyboard, cup, monitor"
